INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
Glycine_soya_merged	6415227	0	552912	0.0861874
Minsoy	6415227	0	89061	0.0138828
Noir	6415227	0	85457	0.013321
Archer	6415227	0	49619	0.00773457
M92_220	6415227	0	41302	0.00643812
IA3023	6415227	0	25103	0.00391303
Wm82_ISU	6415227	0	9782	0.00152481
Williams	6415227	0	9535	0.00148631
