INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
Glycine_soya_merged	5968783	0	456806	0.0765325
Minsoy	5968783	0	60158	0.0100788
Noir	5968783	0	55401	0.00928179
Archer	5968783	0	31146	0.00521815
M92_220	5968783	0	27000	0.00452354
IA3023	5968783	0	16279	0.00272736
Wm82_ISU	5968783	0	3193	0.00053495
Williams	5968783	0	3035	0.000508479
