INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
Glycine_soya_merged	8529911	0	1124075	0.13178
Noir	8529911	0	350720	0.0411165
Minsoy	8529911	0	343964	0.0403245
Archer	8529911	0	279029	0.0327118
M92_220	8529911	0	257550	0.0301937
Williams	8529911	0	180686	0.0211826
Wm82_ISU	8529911	0	180097	0.0211136
IA3023	8529911	0	128917	0.0151135
